,L1_ITO,L2_ZnO,L3_CuGeSeSnS,L4_Au,Transmission,Reflection
720.0,0.020630589411711985,0.0014085296675574743,0.8270711125084037,0.021306094397191604,0.002672956072202637,0.12691071794293263
722.0,0.021243258601273404,0.0013418416660249124,0.8303954829303598,0.021744161854378264,0.0027800786341900807,0.12249517631377357
724.0,0.021928630931600263,0.0012850108144490606,0.8345844718078118,0.022181717019003018,0.0028867357101952373,0.11713343371694054
726.0,0.022642262837144857,0.0012373523204811927,0.8395809093953617,0.022636891769978806,0.002993422756377942,0.11090916092065549
728.0,0.023397567391140316,0.0011985551198267612,0.845284092654629,0.023102185938751758,0.003098846679139705,0.1039187522165124
730.0,0.024203573966621702,0.0011680764855576545,0.8515230756152696,0.02358203982713091,0.0032013305450659113,0.09632190356035417
732.0,0.025008048765267264,0.0011453786935614963,0.8582761375374538,0.024100742553261195,0.003301271245200882,0.08816842120525534
734.0,0.025846252200265443,0.001129510266984987,0.8653174364650588,0.024614342611611058,0.003396402184389899,0.07969605627168981
736.0,0.026683389113797085,0.0011197033354972577,0.87254979988897,0.025119902598665318,0.0034859041149354897,0.07104130094813482
738.0,0.02750436094356172,0.0011152215681422511,0.8798829378565369,0.025603943857087558,0.003568917312300725,0.06232461846237088
740.0,0.02830004240240315,0.001115142428694742,0.8870986957863433,0.026067188448280928,0.0036441682734585645,0.0537747626608194
742.0,0.029081173052976767,0.001118230263288656,0.8939446350138001,0.026502409804070325,0.003709989045951226,0.04564356281991287
744.0,0.029777872230586786,0.001123289200056769,0.9002869796282009,0.02689905100256719,0.0037651277589172347,0.03814768017967108
746.0,0.03042914552554128,0.001129477416644035,0.9059839520876347,0.027242186680085052,0.0038087335386415982,0.031406504751453276
748.0,0.030971016754193177,0.001135344005420048,0.9107945025663627,0.0275352132459508,0.0038394117671360847,0.02572451166093715
750.0,0.03144833536874152,0.0011397511483413273,0.9145241891490018,0.027773084647696702,0.0038564806427106475,0.021258159043507984
752.0,0.031818017969944636,0.0011415959908534108,0.9171441267276017,0.027937897173501248,0.003859328933970344,0.01809903320412864
754.0,0.03207892959458195,0.0011400545979632175,0.9184764212709111,0.028038900947197822,0.0038472353187146806,0.016418458270631143
756.0,0.032255534856724916,0.0011343645398094605,0.9184233562382588,0.02807036726669159,0.0038206133406790653,0.01629576375783626
758.0,0.03228770515450948,0.0011234296511052773,0.917060192759257,0.028021405456012814,0.003780070632399383,0.017727196346716042
760.0,0.03223469898858086,0.001107228241444182,0.9142997245331238,0.027898446645488215,0.003725831424652163,0.020734070166710746
762.0,0.03205728618214884,0.0010852892908815679,0.9101645272125852,0.02770764485017926,0.0036586928198682374,0.025326559644336787
764.0,0.031806162502636744,0.0010571750143923077,0.9048317021159948,0.027443937990038834,0.0035807145628378584,0.031280307814099365
766.0,0.031466883389531124,0.0010232398790313668,0.8983908635864261,0.027118574049484357,0.0034929308768134673,0.03850750821871362
